the,その
slug,ナメクジ
stimulant,刺激物
detour,回り道
mite,ダニ
squamous,鱗状の
archetype,原型
adversarial,敵対的な
childcare,育児
singularly,非常に
hippocampus,海馬
liberate,解放する
intuitively,直感的に
ruling,支配
drawback,欠点
recitation,朗読
karma,業
homogeneity,均質性
saucer,受け皿
precede,先行する
rectal,直腸の
bunker,防空壕
idolatry,偶像崇拝
edict,布告
truce,休戦
swine,豚
saying,ことわざ
uncontrollable,制御不能な
cowardly,臆病な
unhappiness,不幸
symphony,交響曲
downside,不利な面
indistinguishable,区別できない
cyclical,周期的な
purposefully,意図的に
wharf,波止場
longtime,長時間の
undress,脱ぐ
respite,一時休止
archbishop,大司教
strenuous,激しい
annum,年（学術）
rapidity,速さ
soundly,ぐっすり
morphine,モルヒネ
tart,すっぱい
neuropathy,神経障害
alias,別名
analgesic,鎮痛剤
sequel,続編
dialysis,透析
figurative,比喩的な
thickly,厚く
crossover,交差
coroner,検死官
courier,使者
restroom,トイレ
werewolf,人狼
occupancy,占有
colourful,色鮮やかな
deterrent,抑止力
eminence,高名
particularity,特異性
recapture,再捕獲
concave,凹面の
glaze,釉薬
erratic,不規則な
potentiality,可能性
frock,ワンピース
orphanage,孤児院
ministerial,大臣の
prefrontal,前頭前野の
hybridization,交雑
cub,子（動物）
heck,なんてこった
condo,分譲マンション
invincible,無敵の
aloof,よそよそしい
nymph,妖精
storey,階（建物の）
fluctuation,変動
chlorine,塩素
precinct,区域
citrus,柑橘類
possessive,所有の
downright,完全に
arduous,骨の折れる
pictorial,絵のような
blacksmith,鍛冶屋
farmland,農地
tidings,知らせ
tyrannical,暴君的な
invalidate,無効にする
irritable,イライラしやすい
unwillingness,嫌気
restorative,回復の
bum,怠け者|お尻
chasm,裂け目
lactate,乳を出す
vigour,活力
bookseller,本屋
estuary,河口
subtlety,微妙さ
ensue,続く
restart,再開する
nitric,硝酸の
veranda,ベランダ
ranger,レンジャー
waistcoat,ベスト
stair,階段
rehearse,リハーサルする
arsenal,兵器庫
barber,理髪師
relocate,移転する
unpopular,不人気な
dishonest,不正直な
condense,凝縮する
inhuman,非人間的な
vista,眺望
rascal,悪党
ethically,倫理的に
crotch,股間
sectarian,宗派の
immaterial,重要でない
marathon,マラソン
implicate,関与させる
unprepared,準備不足の
bot,自動プログラム
diploma,卒業証書
curator,学芸員
sponsorship,スポンサーシップ
corporeal,肉体の
geology,地質学
jumble,ごちゃまぜ
uproar,騒動
perceptible,知覚できる
shipwreck,難破
smug,うぬぼれた
ascetic,禁欲的な
giver,与える人
mandible,下顎骨
dynamical,力学の
admittedly,認めているが
abbot,修道院長
ay,はい
flyer,ビラ
beset,包囲する
calmness,落ち着き
mod,改造する|モッズ
birch,カバノキ
veritable,本当の
rudimentary,基本的な
thankfully,ありがたいことに
percentile,百分位数
thwart,妨げる
valiant,勇敢な
attentively,注意深く
turret,砲塔
crib,ベビーベッド|カンニング
enroll,登録する
wrongful,不当な
madly,狂って
unofficial,非公式の
helix,らせん
husky,がらがら声の
frivolous,軽薄な
landslide,地滑り
unthinkable,考えられない
colorectal,大腸直腸の
nascent,初期の
foreseeable,予見可能な
cloister,修道院|閉じ込める
twine,ひも
grouping,グループ分け
lee,風下
mechanistic,機械論的な
tee,T字型
translucent,半透明の
backlash,反発
shuffle,シャッフルする
passageway,通路
leafy,葉の多い
persistently,しつこく
timeless,永遠の
quod,拘置所（俗語）
stipulation,規定
mysteriously,神秘的に
scepticism,懐疑
stiffen,硬くなる
normalize,正常化する
sceptical,懐疑的な
sunflower,ひまわり
physique,体格
unreal,非現実的な
subside,収まる
affectionately,愛情をこめて
feverish,熱のある
mirth,歓喜
talisman,お守り
exchanger,交換者
countess,伯爵夫人
tolerable,許容できる
cholera,コレラ
ammonium,アンモニウム
sedation,鎮静
windshield,フロントガラス
servitude,隷属
hindsight,後知恵
nightly,夜ごとに
downhill,下り坂
eunuch,宦官
adorn,飾る
projectile,投射物
heading,見出し
spire,尖塔
tweak,微調整
wedding,結婚式
dowager,未亡人
abnormality,異常
evergreen,常緑樹
doing,行為
gal,女の子
misty,霧の
potion,薬剤
sniper,狙撃手
civility,礼儀
constipation,便秘
tracker,追跡者
sarcoma,肉腫
synchronization,同期
bland,味気ない
teamwork,協力
beet,ビート
reconnaissance,偵察
evasion,回避
inflection,語形変化
sliver,小片
wavelet,小波
bulletin,告示
abolitionist,廃止論者
whirling,渦巻く
articular,関節の
plethora,過多
housewife,主婦
democratization,民主化
patriarchy,家父長制
autonomic,自律的な
repress,抑える
sleeper,寝台車
tremendously,非常に
droplet,小滴
nonverbal,非言語の
achievable,達成可能な
rendezvous,待ち合わせ
relic,遺物
angelic,天使のような
impenetrable,入り込めない
inconceivable,考えられない
solver,解決者
sentient,感覚がある
inmate,囚人
preposition,前置詞
intern,研修生
predisposition,素因
trolley,手押し車
phonetic,音声の
superhero,スーパーヒーロー
dynamically,動的に
punctuation,句読点
nominee,候補者
forefinger,人差し指
sulphur,硫黄
desirous,望んでいる
evaporate,蒸発する
tally,集計
bottleneck,障害
eyewitness,目撃者
gaseous,気体の
epithet,あだ名
flatly,きっぱりと
misrepresentation,虚偽表示
proletariat,労働者階級
prophylaxis,予防
indeterminate,不確定な
supplemental,補足の
unnamed,無名の
fistula,瘻孔
transference,転移
possessor,所有者
pretense,見せかけ
crystallization,結晶化
outgo,支出
onslaught,猛攻
duplication,複製
lactic,乳酸の
serenity,静けさ
casket,棺
porridge,おかゆ
emphatic,強調された
cal,カロリー
lazily,怠けて
tsunami,津波
unnecessarily,不必要に
planner,計画者
hermit,隠者
coalesce,合体する
thyme,タイム
olfactory,嗅覚の
repressive,抑圧的な
retrace,引き返す
swimmer,泳ぐ人
eyelid,まぶた
clamor,叫び声
glorify,称賛する
humanism,人文主義
unanimously,全会一致で
dryly,そっけなく
budge,動く
unforeseen,予期しない
progeny,子孫
imaginable,想像できる
warden,看守
contagion,伝染
refinery,精製所
swoop,急襲する
septum,隔壁
incarnate,具現化した
petite,小柄な
systolic,収縮期の
uneasily,不安そうに
sync,同期
priceless,非常に貴重な
bloodline,血統
harden,硬くする
oxidase,オキシダーゼ
retaliate,報復する
thorn,とげ
petrol,ガソリン
crevice,裂け目
perforation,穿孔
priestly,聖職者の
demolition,解体
hysteria,ヒステリー
sustenance,生命維持
considerate,思いやりのある
posterity,後世
throb,鼓動
conveyance,輸送
multilingual,多言語の
evaluative,評価的な
burgeon,急成長する
ruthlessly,容赦なく
wafer,ウエハー
robber,強盗
epistle,書簡
juxtaposition,並列
unsuitable,不適切な
piracy,海賊行為
grandpa,おじいちゃん
pelt,毛皮
unicorn,ユニコーン
unanswered,未回答の
momentous,重大な
adverb,副詞
tabernacle,礼拝所
anomalous,異常な
waltz,ワルツ
sneeze,くしゃみ
diplomat,外交官
aptly,適切に
lowland,低地
notoriously,悪名高く
chancellor,首相
hostel,宿泊所
appropriateness,適切さ
sorcerer,魔術師
parachute,パラシュート
ness,〜であること
pedestal,台座
briefcase,書類かばん
ultraviolet,紫外線の
longterm,長期の
gallon,ガロン
pun,駄洒落
animosity,敵意
heighten,高める
detectable,検出可能な
muster,奮い起こす
facilitation,促進
miscarriage,流産
heartfelt,心からの
nonexistent,存在しない
senate,上院
fascia,筋膜
whoop,歓声
shorten,短くする
scold,叱る
tram,路面電車
zipper,ファスナー
cobalt,コバルト
deliberative,審議の
insoluble,溶けない
effector,効果器
ameliorate,改善する
skirmish,小競り合い
cadmium,カドミウム
incessantly,絶えず
ointment,軟膏
transgenic,遺伝子組換えの
whirlwind,旋風
affidavit,宣誓供述書
assertive,自己主張の強い
mummy,ミイラ
paradoxically,逆説的に
slump,不景気
penance,贖罪
devotional,信仰的な
glacial,氷の
bisexual,両性愛の
sever,断ち切る
licensee,被許諾者
quicken,速める
brutally,残酷に
religiously,信心深く
contemplative,沈思的な
enchantment,魅了
unspecified,特定されていない
crumble,崩れる
kite,たこ
paperback,ペーパーバック
anatomic,解剖学の
hoe,くわ
furnishings,家具
freshness,新鮮さ
relive,再体験する
postal,郵便の
dissonance,不協和音
innocently,無邪気に
fragility,脆さ
nook,隅
recharge,充電する
pointedly,鋭く
overcoat,外套
contra,反対の
bungalow,平屋
festive,祝祭の
subtitle,字幕
epoxy,エポキシ
hazel,ハシバミ
detain,拘留する
compressor,圧縮機
utilise,利用する
fondly,愛情を込めて
incoherent,支離滅裂な
beaver,ビーバー
vibrate,振動する
unexplained,説明されていない
canteen,食堂
accreditation,認定
mellow,まろやかな
firewood,薪
midline,中央線
yellowish,黄みがかった
stellar,星の
shroud,覆う
didactic,教訓的な
numerically,数値的に
convection,対流
dreamer,夢見る人
yea,はい
infertility,不妊
fishery,漁業
covalent,共有結合の
germination,発芽
courthouse,裁判所
chiral,キラル
fibrillation,細動
reflux,逆流
cleanliness,清潔さ
refresh,元気づける
anarchy,無政府状態
capitalize,資本化する
brewery,醸造所
firmness,堅さ
schooner,スクーナー
precipice,断崖
pessimistic,悲観的な
backside,背面
fervent,熱烈な
boldness,大胆さ
preterm,早産の
submissive,従順な
consequential,重大な
sulfide,硫化物
buoy,浮標
seclusion,隔離
corollary,必然的結果
suitably,適切に
idiosyncratic,特異な
dreamy,夢のような
nucleic,核の
resuscitation,蘇生
spokesman,報道官
newcomer,新人
idly,ぼんやりと
testis,精巣
adamant,断固とした
symbolically,象徴的に
sham,偽り
juicy,ジューシーな
insensitive,鈍感な
boutique,ブティック
coachman,御者
nomenclature,命名法
carnival,カーニバル
semen,精液
bomber,爆撃機
attrition,消耗
midway,中間
womanhood,女性らしさ
limitless,無限の
cataract,白内障
intensification,強化
friar,修道士
allowable,許容される
foresight,先見
mangrove,マングローブ
unimaginable,想像できない
fend,身を守る
underside,裏側
deductible,控除可能な
jargon,専門用語
smoky,煙たい
convertible,変換可能な
rearrange,再配置する
unspeakable,言葉にできない
illusory,幻想的な
coolness,涼しさ
girdle,帯
islet,小島
bifurcation,分岐
pinnacle,頂点
appreciative,感謝している
banish,追放する
wow,驚かせる
conversely,逆に
delinquent,非行の
expatriate,国外居住者
sanitary,衛生的な
decentralization,分権化
debit,借方
triplet,三つ子
premiere,初演
glycol,グリコール
ranking,順位
flannel,フランネル
sanctity,神聖さ
satisfactorily,満足に
gunner,砲手
barefoot,裸足の
bacterium,バクテリア
stubbornly,頑固に
sesame,ゴマ
corral,囲い
dowry,持参金
forlorn,見捨てられた
illiterate,非識字の
poignant,胸を刺すような
stratum,層
wad,束
mover,運送業者
pineapple,パイナップル
copolymer,共重合体
repulsive,不快な
governess,家庭教師
monologue,独白
jot,書き留める
compositional,構成の
credence,信頼
filth,汚物
urea,尿素
bribery,贈賄
dormitory,寮
materialist,唯物論者
uncontrollably,抑えきれずに
obstinate,頑固な
prod,突く
cant,隠語
qua,〜としての
ferment,発酵
glee,歓喜
stepmother,継母
rugby,ラグビー
albumin,アルブミン
overseer,監督者
overgrow,繁茂する
preparedness,備え
ie,すなわち
widget,ウィジェット
nectar,蜜
qualitatively,質的に
blurry,ぼやけた
dame,女性
raspberry,ラズベリー
addictive,依存性のある
asteroid,小惑星
infuse,注入する
custodian,管理人
recital,発表会
adenocarcinoma,腺癌
perspiration,発汗
clandestine,秘密の
enclave,飛び地
idiopathic,特発性の
wearily,疲れて
soar,急上昇する
delinquency,非行
breakup,解散
wiggle,くねらせる
sickle,鎌
savior,救い主
dislodge,取り除く
airy,風通しの良い
quell,鎮める
overcrowd,混雑させる
malfunction,故障
subspace,副次空間
ungrateful,恩知らずの
enforceable,執行可能な
worsen,悪化する
esophagus,食道
slang,俗語
mingle,混ざる
lunchtime,昼食時
cruelly,残酷に
bombardment,爆撃
insurgency,反乱
sojourn,滞在
sled,そり
chauffeur,運転手
minimization,最小化
macroscopic,巨視的な
auditorium,講堂
uphill,上り坂
binge,やりすぎ
roadway,車道
longstanding,長年の
dehydrogenase,脱水素酵素
receivable,受取可能な
averse,嫌って
cirrhosis,肝硬変
courtship,求愛
mysticism,神秘主義
arse,尻
uninterrupted,途切れない
inanimate,無生物の
polyethylene,ポリエチレン
bovine,ウシの
hospice,ホスピス
habitually,習慣的に
monoclonal,単クローン性の
sorely,ひどく
commend,称賛する
nightclub,ナイトクラブ
successively,連続して
journalistic,報道の
flint,火打石
acceptor,受容体
spruce,こぎれいな
stubble,無精ひげ
adipose,脂肪の
migratory,渡りの
duchess,公爵夫人
episodic,断続的な
moiety,部分
stifle,抑える
booklet,小冊子
passively,受け身で
parietal,頭頂の
turnout,出席者数
diversify,多様化する
sonic,音の
scourge,災難
aft,後方へ
vehemently,激しく
materialize,実現する
unethical,非倫理的な
eschew,避ける
eminently,非常に
remedial,改善の
bewilderment,困惑
scriptural,聖書の
impeachment,弾劾
buttress,支える
worksheet,作業用紙
volley,一斉射撃
subsist,生存する
tactile,触覚の
unbiased,偏りのない
needless,不必要な
exhilarate,陽気にする
banter,冷やかし
justifiable,正当化できる
downplay,控えめに言う
hydroxyl,ヒドロキシル
incredulous,信じがたい
rut,轍
wisp,束
liquidation,清算
candid,率直な
nameless,無名の
palette,パレット
culmination,頂点
antisocial,反社会的な
barter,物々交換
carefree,のんきな
axle,車軸
whirl,ぐるぐる回る
hunch,予感
formalism,形式主義
wearable,着用可能な
perplexity,困惑
circa,およそ
deacon,助祭
skew,歪める
histone,ヒストン
arcade,アーケード
avalanche,雪崩
swish,シュッという音
chuck,放り投げる
gangster,ギャング
lurch,よろめく
stent,ステント
shrinkage,収縮
adaptability,適応性
stagnant,停滞した
fondness,好み
prophesy,予言する
volumetric,体積の
seduction,誘惑
ephemeral,つかの間の
exemplify,例示する
tinge,かすかな色
cytoplasmic,細胞質の
bidder,入札者
folder,フォルダー
undercut,切り下げる
autistic,自閉症の
doctorate,博士号
phage,ファージ
skilful,巧みな
nomadic,遊牧の
smudge,汚れ
despicable,卑劣な
rant,怒鳴る
giddy,目まいがする
disjoint,バラバラにする
bloodshed,流血
proportionate,比例した
hernia,ヘルニア
shaman,呪術師
abiotic,非生物の
corneal,角膜の
denomination,宗派
sterilization,殺菌
favorably,好意的に
undercover,秘密の
discernment,識別
vignette,小話
sarcastically,皮肉っぽく
toad,ヒキガエル
botanical,植物の
pastime,娯楽
yin,陰
mistakenly,誤って
multilevel,多層の
barrage,集中砲火
darkly,暗く
cashier,レジ係
consternation,仰天
cosmology,宇宙論
benzene,ベンゼン
stripe,縞
adoration,崇拝
landlady,女家主
darn,繕う
blindfold,目隠し
bookshelf,本棚
fiend,悪魔
lupus,ループス
associative,連想の
wavy,波打った
quarantine,隔離
dung,糞
anus,肛門
murky,濁った
notary,公証人
dilation,拡張
gentry,上流階級
concurrently,同時に
equator,赤道
stairwell,階段吹き抜け
oversized,特大の
sift,ふるいにかける
impurity,不純物
aquaculture,養殖
goblin,ゴブリン
translational,翻訳の
adoptive,養子の
prodigious,驚異的な
apathy,無関心
quake,揺れ
mania,熱狂
modestly,控えめに
allegorical,寓意的な
inextricably,切り離せないほどに
tithe,十分の一税
mucus,粘液
esoteric,難解な
sash,たすき
pleural,胸膜の
aye,はい
hydrophilic,親水性の
pianist,ピアニスト
exhortation,激励
taxa,分類群
expel,追放する
contraception,避妊
huff,むっとする
summation,要約
conical,円錐形の
heparin,ヘパリン
heartache,心の痛み
subterranean,地下の
appellant,上訴人
sensational,衝撃的な
pout,ふくれる
gen,情報
executor,執行人
burnout,燃え尽き
lastly,最後に
ivy,ツタ
immunoglobulin,免疫グロブリン
buff,マニア
relentlessly,容赦なく
commentator,解説者
comedian,コメディアン
def,かっこいい（俗）
trimester,三学期制の一学期
casualty,死傷者
jab,注射
southeastern,南東の
miscellaneous,種々雑多な
mar,傷つける
inversely,逆に
cod,タラ
embarrass,困らせる
concentric,同心の
preview,試写
barbarian,野蛮人
irreducible,これ以上簡単にできない
sucker,だまされやすい人
misunderstanding,誤解
oily,油っぽい
caterpillar,毛虫
abject,惨めな
gauze,ガーゼ
adjuvant,補助的な
individualistic,個人主義的な
dendritic,樹状の
pathos,哀感
woody,木の多い
noticeably,目立って
headlong,真っ逆さまに
gunfire,銃撃
prematurely,早すぎる時期に
sexism,性差別
stead,代わり
triumphantly,得意げに
hoist,持ち上げる
virginity,処女
bloke,男（英俗）
skillful,巧みな
slag,スラグ
flattery,お世辞
restlessness,落ち着きのなさ
abstinence,禁欲
signification,意味
detach,切り離す
unparalleled,比類ない
curricular,カリキュラムの
clench,握りしめる
bioavailability,生物学的利用能
cocoon,繭
ace,エース
mythological,神話の
mega,超巨大な
omega,オメガ
humanistic,人文主義的な
racket,騒音
foolishness,愚かさ
propeller,プロペラ
mathematically,数学的に
normality,正常
storyteller,語り手
payload,積載量
northeastern,北東の
iceberg,氷山
hearsay,うわさ
silicone,シリコン
provenance,起源
proverbial,ことわざの
zigzag,ジグザグ
cytotoxic,細胞毒性の
shyly,恥ずかしそうに
radiate,放射する
contiguous,隣接した
insolvency,支払不能
totalitarian,全体主義の
tanker,タンカー
nightfall,日暮れ
snug,心地よい
gravy,グレービーソース
recursive,再帰的な
melon,メロン
glassy,ガラスのような
sombre,陰気な
sq,平方
conventionally,従来通りに
monsoon,モンスーン
oasis,オアシス
interpretative,解釈の
orifice,開口部
husk,殻
exodus,大量脱出
annoy,悩ます
hospitable,もてなしの良い
apprehensive,不安な
catchment,集水域
cauliflower,カリフラワー
fawn,子鹿
despatch,発送する
blissful,至福の
embankment,堤防
booze,酒
forthwith,直ちに
translocation,移動
malt,麦芽
intimidation,脅し
metabolite,代謝物
passim,随所に
femur,大腿骨
hopelessness,絶望
boon,恩恵
grossly,ひどく
mahogany,マホガニー
masquerade,仮装
unintentionally,意図せずに
naturalistic,自然主義的な
hypocrite,偽善者
harem,ハーレム
toughness,強さ
outcast,のけ者
hypertrophy,肥大
reverie,夢想
elongation,伸長
crucially,決定的に
terminus,終点
solder,はんだ付けする
creatively,創造的に
hump,こぶ
bloodstream,血流
kinsman,親族
psycho,精神異常者
internalize,内面化する
peasantry,農民階級
inverter,インバーター
medically,医学的に
neon,ネオン
podium,演壇
ultrasonic,超音波の
paranoia,偏執病
subculture,サブカルチャー
unwittingly,知らずに
fruitless,無益な
epidemiological,疫学の
federalism,連邦主義
pi,円周率
calorie,カロリー
nous,知性
meaningfully,意味深く
colitis,大腸炎
acetic,酢の
stylish,おしゃれな
deteriorate,悪化する
phenol,フェノール
complicity,共謀
opportunistic,日和見的な
respectability,体面
shred,一片
callous,冷淡な
nostalgic,懐かしい
encephalitis,脳炎
syllabus,シラバス
fodder,飼料
bumper,バンパー
awkwardness,気まずさ
bonfire,たき火
wetland,湿地
corroborate,裏付ける
unborn,胎児の
certify,証明する
acceptability,受容性
goblet,ゴブレット|脚付きの杯
stallion,種馬
laurel,月桂樹
biomarker,バイオマーカー|生体指標
scam,詐欺
butcher,肉屋|精肉業者
stewardship,管理責任
reinvent,再発明する
cardiomyopathy,心筋症
reread,再読する
mash,潰す
timetable,時間割
ancillary,補助的な
oyster,カキ
sans,〜なしで
subtraction,引き算
stave,撃退する
wrestle,格闘する|取り組む
interviewee,面接される人
bowling,ボウリング
immunization,免疫化
rye,ライ麦
determinism,決定論
prescriptive,規定的な
zealous,熱心な
angiography,血管造影
antithesis,対立語|正反対
firewall,ファイアウォール|防御壁
keel,竜骨
urn,骨壷|装飾つぼ
prank,いたずら
lubricant,潤滑剤
phenotypic,表現型の
frigate,フリゲート艦
underdeveloped,未発達の
unkind,不親切な
assuredly,確かに
itinerary,旅程|日程表
chandelier,シャンデリア
cracker,クラッカー|爆竹
thereto,それに|その点に
pathophysiology,病態生理学
purr,ゴロゴロ鳴く
bedrock,基盤|岩盤
importation,輸入
caliber,能力|口径
cadence,抑揚|リズム
homelessness,ホームレス状態
onstage,舞台上で
encampment,野営地
distributive,分配の
untrue,事実でない
dogmatic,独断的な
bridegroom,花婿
installment,分割払い|分冊
serving,1人前|配膳
pseudonym,偽名
broccoli,ブロッコリー
unduly,過度に
fluidity,流動性
hardwood,広葉樹材
catalysis,触媒作用
sedentary,座りがちな
adjudication,裁定
extravagance,浪費
postpartum,産後の
criticise,批判する
epidermal,表皮の
mmol,ミリモル
papyrus,パピルス|古代紙
prosthetic,義肢の
topple,倒す
dishevel,乱す
malady,病気
misunderstand,誤解する
sapphire,サファイア
dictum,格言
luckily,運良く
reagent,試薬
blatant,露骨な
tit,カラ類の小鳥
scholastic,学問の
burglary,侵入盗
continuance,継続
boyish,少年のような
spoonful,スプーン1杯
fluoride,フッ化物
folio,フォリオ判
freelance,フリーランス
sizable,かなり大きな
dissuade,思いとどまらせる
meek,従順な
profusely,豊富に|激しく
daybreak,夜明け
volition,意志
axiom,公理
unprotected,無防備な
immutable,不変の
longitude,経度
pragmatism,実用主義
readership,読者層
pretreatment,前処理
fax,ファックス
recast,作り直す
cumbersome,扱いにくい
scrutinize,精査する
astute,抜け目のない
affront,侮辱
fanciful,空想的な
preamble,前文
nylon,ナイロン
immanent,内在する
bide,待つ
thrice,3度
convincingly,説得力をもって
industrious,勤勉な
silken,絹のような
ludicrous,ばかげた
genial,愛想のよい
demonstrative,感情を表に出す
abomination,嫌悪すべきもの
fabricate,捏造する
burglar,泥棒
syndicate,企業連合
fragmentary,断片的な
fateful,運命的な
acidosis,アシドーシス|酸性血症
jumper,ジャンパー|セーター
transcriptional,転写の
barbarous,野蛮な
pedigree,血統
nodal,節の
enquire,問い合わせる
applaud,拍手する
predefined,あらかじめ定義された
recessive,劣性の
wanton,無差別な
sluggish,鈍い
injurious,有害な
miraculously,奇跡的に
creak,きしむ
coyote,コヨーテ
readable,読みやすい
shrub,低木
inquisitive,詮索好きな
blasphemy,冒涜
brainstem,脳幹
monolithic,一枚岩の
audacity,大胆さ
rheumatoid,リウマチ性の
starry,星の多い
drummer,ドラマー
meager,乏しい
reestablish,再建する
positivity,肯定性
binomial,二項の
millimeter,ミリメートル
obscene,わいせつな
physiologic,生理学的な
lightness,軽さ
privy,関与している
homogenous,同質の
polygon,多角形
citadel,城塞
cowardice,臆病
explorer,探検家
phylogenetic,系統発生の
informally,非公式に
laborious,骨の折れる
campsite,キャンプ場
brine,塩水
unskilled,熟練していない
unstructured,構造化されていない
fundamentalist,原理主義者
gypsy,ジプシー
afloat,浮かんで
bona,善意の（ラテン語由来）
manganese,マンガン
biodegradable,生分解性の
rpm,回転数|毎分回転数
eel,ウナギ
cove,入り江
envisage,心に描く
bash,強打する
admirably,見事に
taunt,あざける
merciless,容赦ない
sweetie,かわいこちゃん
stepfather,継父
airfield,飛行場
evangelist,伝道者
intractable,手に負えない
sedan,セダン車
congruent,一致する
parson,牧師
fain,喜んで
unmarked,印のない
insidious,潜行性の
osmotic,浸透圧の
multiculturalism,多文化主義
embargo,禁輸
predispose,〜しやすくする
numeric,数値の
bible,聖書
atone,償う
distraught,取り乱した
nave,身廊|教会中央部
burly,がっしりした
impunity,免責
acupuncture,鍼治療
newfound,新たに見つかった
immobilization,固定
foothold,足がかり
earnestness,まじめさ
boyhood,少年時代
rector,学長|教区牧師
enigmatic,謎めいた
legitimately,合法的に
diss,侮辱する
predominance,優勢
wreckage,残骸
dusky,薄暗い
confessional,告解の|告白の
unambiguous,曖昧でない
sill,窓台
clockwise,時計回りの
expectant,期待している
diocese,教区
annexation,併合
marina,ヨット港
exasperation,憤慨
incomparable,比類なき
exclusionary,排他的な
organizer,主催者
haggard,やつれた
commonwealth,連邦|国民共同体
anthem,国歌
rendition,解釈|演奏
breathtaking,息をのむような
exegesis,聖書解釈
truthfully,正直に
unidentified,未確認の
divulge,漏らす
inaction,不作為
endometrial,子宮内膜の
inoculation,予防接種
infrequent,まれな
radiograph,X線画像
spaghetti,スパゲッティ
overhaul,徹底的な点検
impractical,非現実的な
unwise,賢明でない
circumcision,割礼
thermodynamics,熱力学
unquestionably,疑いなく
occupant,居住者
convergent,収束する
prelude,前奏
fission,核分裂
stereotypical,典型的な|紋切型の
epidural,硬膜外の
embed,埋め込む
lichen,地衣類
stint,任期
acidity,酸性度
secretive,秘密主義の
consumerism,消費主義
discreetly,慎重に
denunciation,非難
glutamate,グルタミン酸
anorexia,拒食症
alibi,アリバイ
stereo,ステレオ
constructor,建設業者
comical,こっけいな
nicotine,ニコチン
intonation,イントネーション
quay,埠頭
tenement,借家アパート
broadband,ブロードバンド
shun,避ける
nick,切り傷
surreal,超現実的な
shorthand,速記
adenoma,腺腫
billionaire,億万長者
syphilis,梅毒
jingle,ジングル|短い宣伝音
ethyl,エチル
religiosity,敬虔さ
matron,婦長
alcoholism,アルコール依存症
wrinkle,しわ
savvy,知識|理解
gruesome,ぞっとする
cuddle,抱きしめる
effortlessly,楽に
horny,興奮した|性的に
gully,側溝|谷間
chromium,クロム|金属元素
cauldron,大釜
berry,ベリー|小果実
dismissive,拒絶的な
abuser,虐待者
surmise,推測する
churchyard,教会墓地
willful,故意の
immorality,不道徳
calcification,石灰化
copious,豊富な
infernal,地獄のような
infrequently,まれに
analgesia,無痛覚
tyrosine,チロシン|アミノ酸
metamorphosis,変態|変化
skipper,船長
meticulously,綿密に
infidelity,不貞
movable,動かせる
addressee,受取人
rectum,直腸
hoot,鳴き声|嘲笑
tact,機転
vassal,家臣
biceps,上腕二頭筋
whiff,かすかな匂い
fleshy,肉付きの良い
osteoporosis,骨粗しょう症
firstborn,最初に生まれた子
mu,ミュー|ギリシャ文字
southwestern,南西の
asymmetrical,非対称の
recuperate,回復する
executioner,死刑執行人
octave,オクターブ
overlay,覆う
shin,すね
criminality,犯罪性
cleanup,清掃
watchman,警備員
reopen,再開する
greenish,緑がかった
eclectic,折衷的な
fortitude,不屈の精神
scandalous,不名誉な
proto,原始的な|初期の
warily,用心して
beware,気をつける
pernicious,有害な
hanger,ハンガー
distinguishable,識別可能な
deforestation,森林伐採
streamline,合理化する
penicillin,ペニシリン
philanthropy,博愛
ferocity,凶暴さ
comer,来る人
quantitatively,量的に
ventilator,人工呼吸器
austere,質素な
battleship,戦艦
shampoo,シャンプー
pervert,変質者|ゆがめる
amyloid,アミロイド|タンパク質の一種
lemonade,レモネード
groundwork,基礎
livery,制服
causative,原因となる
browse,閲覧する
transgress,違反する
resentful,憤慨している
foolishly,愚かに
rarity,珍しさ
scorpion,サソリ
deviance,逸脱
pilgrim,巡礼者
symbiotic,共生の
magnificence,壮麗さ
oppress,抑圧する
weighty,重い|重大な
cringe,すくむ
solidify,固める
coronation,戴冠式
wreak,もたらす|引き起こす
poppy,ケシの花
nanotechnology,ナノ技術
hypnotic,催眠の
rejoin,再参加する
inventive,発明の才がある
allergen,アレルゲン|アレルギー物質
reductive,還元的な
dissect,解剖する
conglomerate,複合企業
bikini,ビキニ
projector,プロジェクター
peacock,クジャク
whack,強打する
jeopardy,危機
cactus,サボテン
tic,けいれん
birthplace,出生地
helium,ヘリウム
satirical,風刺的な
fruition,実現
unsaturated,不飽和の
turquoise,ターコイズ|トルコ石
hilarious,非常に面白い
neoclassical,新古典主義の
vegetative,植物の|無意識の
evacuate,避難する
aught,何もない|ゼロ
thanksgiving,感謝祭
meditative,瞑想的な
regress,退行する
veterinarian,獣医
unintentional,意図しない
demo,デモ|実演
futility,無益
bridal,結婚式の
reformation,改革
somber,暗い
graze,牧草地|かすめる
filial,子の|親に対する
tracer,追跡者|トレーサー
maximization,最大化
duo,二重奏
cleverly,巧みに
popcorn,ポップコーン
seamless,継ぎ目のない
commemoration,記念
sensuous,感覚的な
absently,ぼんやりと
espionage,スパイ活動
fecal,糞便の
indebtedness,負債
desirability,望ましさ
glamour,魅力
encyclopedia,百科事典
melodic,旋律的な
elm,ニレの木
handshake,握手
chromatin,クロマチン|染色質
digitally,デジタルに
miner,鉱夫
interchangeably,交換可能に
slum,スラム街
confluence,合流点
farce,茶番劇
efficacious,効果的な
carelessness,不注意
elegantly,優雅に
surveyor,測量士
